Time to compute fields in C: 8.344510 seconds
Time to compute fields in C: 5.984248 seconds
Time to compute fields in C: 0.006032 seconds
Time to compute fields in C: 0.005938 seconds
Time to compute fields in C: 0.005938 seconds
Time to compute fields in C: 0.005949 seconds
Time to compute fields in C: 0.005951 seconds
Time to compute fields in C: 0.006000 seconds
Time to compute fields in C: 0.006041 seconds
Time to compute fields in C: 0.005992 seconds
Time to compute fields in C: 0.006094 seconds
Time to compute fields in C: 0.009239 seconds
Time to compute fields in C: 0.009120 seconds
Time to compute fields in C: 0.009403 seconds
Time to compute fields in C: 0.011130 seconds
Time to compute fields in C: 0.009773 seconds
Time to compute fields in C: 0.009393 seconds
Time to compute fields in C: 0.009310 seconds
Time to compute fields in C: 0.009368 seconds
Time to compute fields in C: 0.009113 seconds
Time to compute fields in C: 0.019449 seconds
Time to compute fields in C: 0.022413 seconds
Time to compute fields in C: 0.022374 seconds
Time to compute fields in C: 0.022572 seconds
Time to compute fields in C: 0.022451 seconds
Time to compute fields in C: 0.022591 seconds
Time to compute fields in C: 0.022625 seconds
Time to compute fields in C: 0.022426 seconds
Time to compute fields in C: 0.022658 seconds
Time to compute fields in C: 0.023374 seconds
Time to compute fields in C: 0.006007 seconds
Time to compute fields in C: 0.009201 seconds
Time to compute fields in C: 0.009192 seconds
Time to compute fields in C: 0.009111 seconds
Time to compute fields in C: 0.009234 seconds
Time to compute fields in C: 0.009156 seconds
Time to compute fields in C: 0.009192 seconds
Time to compute fields in C: 0.009128 seconds
Time to compute fields in C: 0.009132 seconds
Time to compute fields in C: 0.009180 seconds
Time to compute fields in C: 0.015889 seconds
Time to compute fields in C: 0.019084 seconds
Time to compute fields in C: 0.019091 seconds
Time to compute fields in C: 0.019240 seconds
Time to compute fields in C: 0.019069 seconds
Time to compute fields in C: 0.019082 seconds
Time to compute fields in C: 0.019370 seconds
Time to compute fields in C: 0.019118 seconds
Time to compute fields in C: 0.019081 seconds
Time to compute fields in C: 0.019111 seconds
Time to compute fields in C: 0.054246 seconds
Time to compute fields in C: 0.058730 seconds
Time to compute fields in C: 0.062156 seconds
Time to compute fields in C: 0.059097 seconds
Time to compute fields in C: 0.058545 seconds
Time to compute fields in C: 0.058643 seconds
Time to compute fields in C: 0.058481 seconds
Time to compute fields in C: 0.059400 seconds
Time to compute fields in C: 0.058774 seconds
Time to compute fields in C: 0.063993 seconds
Time to compute fields in C: 0.019781 seconds
Time to compute fields in C: 0.022443 seconds
Time to compute fields in C: 0.022648 seconds
Time to compute fields in C: 0.022383 seconds
Time to compute fields in C: 0.022394 seconds
Time to compute fields in C: 0.022381 seconds
Time to compute fields in C: 0.022383 seconds
Time to compute fields in C: 0.022393 seconds
Time to compute fields in C: 0.022383 seconds
Time to compute fields in C: 0.022444 seconds
Time to compute fields in C: 0.054719 seconds
Time to compute fields in C: 0.065496 seconds
Time to compute fields in C: 0.061003 seconds
Time to compute fields in C: 0.058590 seconds
Time to compute fields in C: 0.058973 seconds
Time to compute fields in C: 0.059591 seconds
Time to compute fields in C: 0.058704 seconds
Time to compute fields in C: 0.058849 seconds
Time to compute fields in C: 0.058429 seconds
Time to compute fields in C: 0.058785 seconds
Time to compute fields in C: 0.155297 seconds
Time to compute fields in C: 0.163237 seconds
Time to compute fields in C: 0.158668 seconds
Time to compute fields in C: 0.159793 seconds
Time to compute fields in C: 0.157882 seconds
Time to compute fields in C: 0.158166 seconds
Time to compute fields in C: 0.163322 seconds
Time to compute fields in C: 0.158056 seconds
Time to compute fields in C: 0.159569 seconds
Time to compute fields in C: 0.158614 seconds
Time to compute fields in C: 0.004598 seconds
